"Device name","Device ID","Managed by","Creator","OS","OS Version","Domain","Tailscale version","Tags","Created","Last seen","Key expiry","Tailscale IPs","Endpoints","Subnet router","Approved subnet routes","Unapproved subnet routes","Exit node","Ephemeral","Shared in","Tailscale SSH","Funnel"
"basilisk","nZWTjRgGoU11CNTRL","dave@dave.io","dave@dave.io","linux","5.15.0-112-generic","basilisk.manticore-minor.ts.net","1.70.0-t0e0a21241-g26f80df92","","2024-03-26T13:03:26Z",,"2024-09-22T13:03:26Z","100.87.5.50,fd7a:115c:a1e0::1501:532","",,"","","true",,,,
"dave-officetv","nQhCiQhwnk11CNTRL","dave@dave.io","dave@dave.io","tvOS","17.6.1","dave-officetv.manticore-minor.ts.net","1.72.0-t9a0f00ea8-g387e0b40a","","2024-03-21T16:38:01Z",,"2024-09-17T16:38:01Z","100.94.73.54,fd7a:115c:a1e0::cd01:4936","",,"","","true",,,,
"mog-barometer","n6yRDWonN821CNTRL","dave@dave.io","dave@dave.io","linux","6.6.31+rpt-rpi-v6","mog-barometer.manticore-minor.ts.net","1.68.1-tf02ad8397-g8f9cb4763","","2024-06-26T21:25:16Z","2024-07-03T09:10:59Z","2024-12-23T21:25:16Z","100.96.7.59,fd7a:115c:a1e0::e01:73b","",,"","","true",,,,
"nas-16c","nqQDN96CNTRL","dave@dave.io","dave@dave.io","linux","4.4.302+","nas-16c.manticore-minor.ts.net","1.58.2-1-t20ce749c6","","2023-06-24T21:05:52Z",,"0001-01-01T00:00:00Z","100.94.11.35,fd7a:115c:a1e0:ab12:4843:cd96:625e:b23","",,"","","true",,,,
"nas-7t54","n16Eq3hjQ521CNTRL","dave@dave.io","dave@dave.io","linux","5.10.60-qnap","nas-7t54.manticore-minor.ts.net","1.70.0-t0e0a21241-g26f80df92","","2024-08-15T21:18:31Z",,"2025-02-11T21:18:31Z","100.117.24.73,fd7a:115c:a1e0::dc01:184a","",,"","","true",,,,
"pi5","n1MiMGaiHF11CNTRL","dave@dave.io","dave@dave.io","linux","6.6.31+rpt-rpi-v8","pi5.manticore-minor.ts.net","1.70.0-t0e0a21241-g26f80df92","","2024-03-09T20:13:22Z","2024-07-30T02:29:16Z","2024-09-05T20:13:22Z","100.107.229.60,fd7a:115c:a1e0::216b:e53c","",,"","","true",,,,
"dave-cbp","nEiuBCbL6J11CNTRL","dave@dave.io","dave@dave.io","linux","6.8.11-amd64","dave-cbp.manticore-minor.ts.net","1.72.1-tc02a15244-g5c00d019b","","2024-08-29T13:43:25Z",,"2025-02-25T13:43:25Z","100.78.67.55,fd7a:115c:a1e0::c201:4337","",,"","",,,,,
"dave-i5mbp","n9KJntNanA21CNTRL","dave@dave.io","dave@dave.io","macOS","14.6.1","dave-i5mbp.manticore-minor.ts.net","1.72.2-t899255bc7-g37f5cf9d5","","2024-08-27T18:40:14Z","2024-08-29T13:08:46Z","2025-02-23T18:40:14Z","100.88.245.127,fd7a:115c:a1e0::9a01:f580","",,"","",,,,,
"dave-i9mbp","nqP8X63EL311CNTRL","dave@dave.io","dave@dave.io","macOS","14.6.1","dave-i9mbp.manticore-minor.ts.net","1.72.2-t899255bc7-g37f5cf9d5","","2024-08-28T12:05:48Z",,"2025-02-24T12:05:48Z","100.76.40.79,fd7a:115c:a1e0::ab01:2850","",,"","",,,,,
"dave-ipad","nN5FcnCmzL11CNTRL","dave@dave.io","dave@dave.io","iOS","17.6.1","dave-ipad.manticore-minor.ts.net","1.72.2-t899255bc7-g37f5cf9d5","","2024-03-15T14:12:35Z",,"2024-09-11T14:12:35Z","100.88.213.9,fd7a:115c:a1e0::ac98:d509","",,"","",,,,,
"dave-ipad10","ndCLxPBrPS11CNTRL","dave@dave.io","dave@dave.io","iOS","17.6.1","dave-ipad10.manticore-minor.ts.net","1.72.2-t899255bc7-g37f5cf9d5","","2024-03-15T14:16:50Z","2024-08-29T13:43:37Z","2024-09-11T14:16:50Z","100.121.43.55,fd7a:115c:a1e0::74f9:2b37","",,"","",,,,,
"dave-iphone","nPX6skvUbr11CNTRL","dave@dave.io","dave@dave.io","iOS","17.4.1","dave-iphone.manticore-minor.ts.net","1.64.0-t7e9bebdb2-gf314c5be5","","2024-03-15T14:43:47Z","2024-04-26T19:30:23Z","2024-09-11T14:43:47Z","100.102.104.24,fd7a:115c:a1e0::c1e6:6818","",,"","",,,,,
"dave-mba","nfASAEzkY721CNTRL","dave@dave.io","dave@dave.io","macOS","14.6.1","dave-mba.manticore-minor.ts.net","1.72.0-t9a0f00ea8-g387e0b40a","","2024-03-06T21:32:41Z","2024-08-29T11:56:10Z","2024-09-02T21:32:41Z","100.92.119.43,fd7a:115c:a1e0::999c:772b","",,"","",,,,,
"dave-mba-docker-desktop","nyQUU89KEn11CNTRL","dave@dave.io","dave@dave.io","linux","6.10.0-linuxkit","dave-mba-docker-desktop.manticore-minor.ts.net","1.58.2-t6a2a8457f-g8c7d4563e","","2024-03-09T19:20:36Z",,"2024-09-05T19:20:36Z","100.95.3.38,fd7a:115c:a1e0::219f:326","",,"","",,,,,
"dave-mba-ubuvm","n9Sk4BjHVZ11CNTRL","dave@dave.io","dave@dave.io","linux","6.8.0-36-generic","dave-mba-ubuvm.manticore-minor.ts.net","1.68.1-tf02ad8397-g8f9cb4763","","2024-03-24T03:01:26Z","2024-06-29T11:01:12Z","2024-09-20T03:01:26Z","100.66.214.95,fd7a:115c:a1e0::fb01:d65f","",,"","",,,,,
"dave-mba-winvm","nsamZrHcmv11CNTRL","dave@dave.io","dave@dave.io","windows","10.0.22635.4076","dave-mba-winvm.manticore-minor.ts.net","1.72.0-t9a0f00ea8-g387e0b40a","","2024-03-24T03:05:01Z","2024-08-27T21:28:02Z","2024-09-20T03:05:01Z","100.115.56.110,fd7a:115c:a1e0::6d01:386e","",,"","",,,,,
"dave-shadow","nBRj9rTH3a11CNTRL","dave@dave.io","dave@dave.io","windows","10.0.22631.4037","dave-shadow.manticore-minor.ts.net","1.70.0-t0e0a21241-g26f80df92","","2024-03-10T21:02:45Z","2024-08-21T20:52:23Z","2024-09-06T21:02:45Z","100.90.98.69,fd7a:115c:a1e0::409a:6245","",,"","",,,,,
"dave-surface","nH82h5nG4911CNTRL","dave@dave.io","dave@dave.io","windows","10.0.22631.3958","dave-surface.manticore-minor.ts.net","1.70.0-t0e0a21241-g26f80df92","","2024-08-04T18:32:20Z","2024-08-04T19:58:36Z","2025-01-31T18:32:20Z","100.125.128.39,fd7a:115c:a1e0::8a01:8027","",,"","",,,,,
"office-chromecast","nw1mpiHH6821CNTRL","dave@dave.io","dave@dave.io","android","12","office-chromecast.manticore-minor.ts.net","1.60.1-t2caffeeb4-g6f7ae79a31c","","2024-04-07T12:45:47Z","2024-04-07T12:45:48Z","2024-10-04T12:45:47Z","100.95.17.83,fd7a:115c:a1e0::da01:1153","",,"","",,,,,
